URL,Année,Titre,"Mon annotation","Annotateur 1","Annotateur 2","Annotateur 3",
http://www.lrec-conf.org/proceedings/lrec2000/pdf/12.pdf,2000,"TransSearch: A Free Translation Memory on the World Wide Web",A,A,,,
http://www.lrec-conf.org/proceedings/lrec2002/pdf/5.pdf,2002,"Computer-Aided Specification of Quality Models for Machine Translation Evaluation",NonApplicable,NonApplicable,,,
http://www.lrec-conf.org/proceedings/lrec2004/pdf/17.pdf,2004,"Towards a Reference Annotation Framework ",NonApplicable,NonApplicable,,,
http://www.lrec-conf.org/proceedings/lrec2006/pdf/29_pdf.pdf,2006,"A new approach to syntactic annotation",ND,ND,,,
http://www.lrec-conf.org/proceedings/lrec2008/pdf/45_paper.pdf,2008,"Combining Multiple Models for Speech Information Retrieval ",A,A,,,
http://www.lrec-conf.org/proceedings/lrec2010/pdf/17_Paper.pdf,2010,"Comment Extraction from Blog Posts and Its Applications to Opinion Mining ",ND,ND,,,
http://www.lrec-conf.org/proceedings/lrec2012/pdf/122_Paper.pdf,2012,"Large Scale Semantic Annotation, Indexing, and Search at The NonApplicabletioNonApplicablel Archives",ND,D,,,
http://www.lrec-conf.org/proceedings/lrec2014/pdf/39_Paper.pdf,2014,"Three dimensions of the so-called ""interoperability"" of annotation schemes ",NonApplicable,NonApplicable,,,
https://aclanthology.org/L16-1004.pdf,2016,"The Trials and Tribulations of Predicting Machine Translation Post-Editing Productivity",NonApplicable,ND,,,
https://aclanthology.org/L18-1003.pdf,2018,"Upping the Ante: Towards a Better Benchmark for Chinese-to-English Machine Translation",A,A,,,
https://aclanthology.org/2020.lrec-1.34.pdf,2020,"Creating Expert Knowledge by Relying on Language Learners: a Generic Approach for Mass-Producing Language Resources by Combining Implicit Crowdsourcing and Language Learning",NonApplicable,NonApplicable,,,
https://aclanthology.org/P11-1002.pdf,2011,"Deciphering Foreign Language",A,A,,,
https://aclanthology.org/P12-1010.pdf,2012,"Extracting NonApplicablerrative Timelines as Temporal Dependency Structures",ND,D,,,
https://aclanthology.org/P13-1005.pdf,2013,"Smoothed margiNonApplicablel distribution constraints for language modeling",NonApplicable,NonApplicable,,,
https://aclanthology.org/P14-1002.pdf,2014,"Representation Learning for Text-level Discourse Parsing",D,D,,,
https://aclanthology.org/P15-1008.pdf,2015,"Weakly Supervised Models of Aspect-Sentiment for Online Course Discussion Forums",ND,ND,,,
https://aclanthology.org/P16-1007.pdf,2016,"Models and Inference for Prefix-Constrained Machine Translation",A,A,,,
https://aclanthology.org/P17-1003.pdf,2017,"Neural Symbolic Machines: Learning Semantic Parsers on Freebase with Weak Supervision",ND,D,,,
https://aclanthology.org/P18-1008.pdf,2018,"The Best of Both Worlds: Combining Recent Advances in Neural Machine Translation",A,A,,,
https://aclanthology.org/P19-1002.pdf,2019,"Incremental Transformer with Deliberation Decoder for Document Grounded Conversations",ND,D,,,
https://aclanthology.org/2020.acl-main.7.pdf,2020,"Guiding VariatioNonApplicablel Response Generator to Exploit PersoNonApplicable",A,A,,,
,,,,,,,
http://www.lrec-conf.org/proceedings/lrec2000/pdf/34.pdf,2000,"Evaluation of TRANSTYPE, a Computer-aided Translation Typing System: A comparison of a theoretical- and a user- oriented evaluation procedures",ND,,ND,,
http://www.lrec-conf.org/proceedings/lrec2002/pdf/51.pdf,2002,"Word Sense Disambiguation using Statistical Models and WordNet",ND,,ND,,
